VisualVHazimuth,VisualVHelevation,VisualRealazimuth,VisualRealelevation,AccousticVHmdnoLSazimuth,AccousticVHmdnoLSelevation,accousticVirtualHmdLaserazimuth,accousticVirtualHmdLaserelevation,accousticVHmdazimuth,accousticVHmdelevation,accousticRealazimuth,accousticRealelevation,accousticBlindHmdazimuth,accousticBlindHmdelevation,accousticBlindazimuth,accousticBlindelevation,VisualVHazTotal,VisualVHelTotal,VisualRealazTotal,VisualRealelTotal,accVirHmdNoLsaztotal,accVirHmdNoLseltotal,accousticVirtualHmdLaserazTotal,accousticVirtualHmdLaserelTotal,accVirHmdazTotal,accVirHmdelTotal,accRealazTotal,accRealelTotal,accBlindHmdazTotal,accBlindHmdelTotal,accBlindazTotal,accBlindelTotal
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,26.88804827,26.17869104,32.69786844,23.2297088,31.78148661,13.62621606,33.96440506,27.41473007,32.80839548,14.17528833,22.43477068,27.29248727,28.71283731,16.40795053,38.0959836,11.13587488
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,29.93332733,28.34026972,32.19212212,25.02258555,38.11292519,16.65049044,28.9513073,27.94500542,32.58213295,29.27337138,33.16254105,29.52473704,35.10231652,12.29711977,38.99878182,23.34077326
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,29.01096803,32.0853596,28.7418583,27.53194239,36.52986795,38.16546061,31.34505081,26.96832848,28.74437219,30.88169291,31.46842462,24.29639246,32.34787065,34.52849772,33.83400613,40.99589732
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,33.26333299,28.04708994,29.20583215,26.93678796,29.98640504,29.5175451,31.89927864,26.65201569,35.04272523,42.62985742,35.37796464,32.23123682,45.83328309,33.27955759,25.37074151,16.52491129
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,30.75561474,24.09172846,31.86531971,28.11841227,42.26325367,48.61780573,29.48029137,27.27018929,25.6055579,27.19654871,26.92411755,34.68351389,48.49411915,55.92838312,36.58638523,35.94183375
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,29.38399394,24.65378894,34.38038333,33.29789676,28.3962868,28.04515781,29.8255043,27.66287804,31.39818271,23.49387302,29.9284962,25.22548999,36.64499362,14.489612,49.67874988,28.11203327
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,31.88385193,22.76377707,26.76806633,29.71407919,52.95868866,39.95637351,27.46155548,27.86033249,32.65325538,23.16594916,25.72932617,28.11697607,34.02726356,37.05970602,48.04763595,48.37139349
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,26.93657282,29.11687105,33.01548746,35.57036226,36.76638773,23.76216906,29.56623268,28.40270996,30.52435091,31.99628084,26.61043909,42.42002504,52.33409479,33.31026476,144.4290464,53.86562746
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,28.88976647,14.99788674,29.02593018,36.83724602,43.3009832,18.40300759,30.53660393,27.79374313,35.59303642,18.03881463,27.88788391,35.34683236,35.63059975,15.09461602,40.22740151,25.74687203
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,61.05855657,21.9497848,61.46595098,24.02581553,63.96122838,7.634019423,59.04593277,28.10197639,60.98929311,19.1083961,55.19893361,20.62077861,47.91771795,48.90385203,50.91775991,44.93359141
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,58.47795687,22.1503898,65.40428743,34.58946145,77.50444994,20.86300577,47.50912476,27.177948,52.55830583,23.19356836,64.62669191,47.59466089,57.52416811,27.12053598,54.1397954,29.01580728
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,64.67448296,28.23108927,63.14936318,27.42702738,73.11162819,11.23231379,59.33311081,29.75497818,63.76783242,33.63139597,65.2465197,31.50691859,81.49798073,10.17047755,60.81155266,19.08759562
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,66.32031518,29.57587626,65.33503228,27.09446146,67.13279992,34.10927012,60.78903198,30.68063927,63.12598687,24.29841425,63.22507745,20.90882685,60.44126016,27.2548733,60.67587548,39.70957377
